term	Value	Std.Error	t-value	p-value
(Intercept)	-1.17106898656674	0.098585302208957	-11.8787381113322	7.80303480103985e-14
climatic_zoneARID	-0.0397909630165765	0.108016965217656	-0.368376976120344	0.714810966010861
climatic_zoneTEMP	-0.118943051676673	0.0848672196992126	-1.40151936281443	0.169864661289146
climatic_zoneBORE	-0.0643788106913254	0.112045574967153	-0.574577003243535	0.569252431084786
