fbgn	gene_support_score	best_downstream_priority	best_candidate_priority	best_gene_role	n_candidate_cres	candidate_cre_ids	n_primary_cres	primary_cre_ids	n_secondary_cres	secondary_cre_ids	n_recurrent_cres	recurrent_cre_ids	n_focal_supported_cres	focal_supported_cre_ids	n_high_priority_cres	high_priority_cre_ids	n_medium_priority_cres	medium_priority_cre_ids	n_exploratory_cres	exploratory_cre_ids	n_unique_tier1_clades	tier1_clades	max_total_tier1_clades_per_cre	max_focal_tier1_clades_per_cre	max_secondary_only_clades_per_cre	has_primary_assignment	has_secondary_assignment
FBgn0283657	7	medium	focal_single	primary_candidate	3	DMEL_CRE_00017|DMEL_CRE_00019|DMEL_CRE_00021	2	DMEL_CRE_00019|DMEL_CRE_00021	1	DMEL_CRE_00017	0		1	DMEL_CRE_00017	0		1	DMEL_CRE_00017	2	DMEL_CRE_00019|DMEL_CRE_00021	1	teissieri_group	1	1	1	yes	yes
FBgn0003380	6	medium	focal_single	primary_candidate	2	DMEL_CRE_00120|DMEL_CRE_00121	2	DMEL_CRE_00120|DMEL_CRE_00121	0		0		1	DMEL_CRE_00121	0		1	DMEL_CRE_00121	1	DMEL_CRE_00120	1	obscura_group	1	1	1	yes	no
FBgn0264695	6	medium	focal_single	primary_candidate	2	DMEL_CRE_00276|DMEL_CRE_00277	2	DMEL_CRE_00276|DMEL_CRE_00277	0		0		1	DMEL_CRE_00276	0		1	DMEL_CRE_00276	1	DMEL_CRE_00277	1	obscura_group	1	1	1	yes	no
FBgn0266098	6	medium	focal_single	primary_candidate	2	DMEL_CRE_00029|DMEL_CRE_00030	2	DMEL_CRE_00029|DMEL_CRE_00030	0		0		1	DMEL_CRE_00030	0		1	DMEL_CRE_00030	1	DMEL_CRE_00029	1	teissieri_group	1	1	1	yes	no
FBgn0032601	4	medium	secondary_recurrent	secondary_candidate	1	DMEL_CRE_00275	0		1	DMEL_CRE_00275	1	DMEL_CRE_00275	0		0		1	DMEL_CRE_00275	0		2	azteca_affinis_miranda_group|repleta_group	2	0	2	no	yes
FBgn0267163	4	medium	secondary_recurrent	secondary_candidate	1	DMEL_CRE_00078	0		1	DMEL_CRE_00078	1	DMEL_CRE_00078	0		0		1	DMEL_CRE_00078	0		2	azteca_affinis_miranda_group|teissieri_group	2	0	2	no	yes
FBgn0030886	4	medium	focal_single	secondary_candidate	2	DMEL_CRE_00120|DMEL_CRE_00121	0		2	DMEL_CRE_00120|DMEL_CRE_00121	0		1	DMEL_CRE_00121	0		1	DMEL_CRE_00121	1	DMEL_CRE_00120	1	obscura_group	1	1	1	no	yes
FBgn0003463	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00106	1	DMEL_CRE_00106	0		0		1	DMEL_CRE_00106	0		1	DMEL_CRE_00106	0		1	teissieri_group	1	1	0	yes	no
FBgn0004169	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00093	1	DMEL_CRE_00093	0		0		1	DMEL_CRE_00093	0		1	DMEL_CRE_00093	0		1	obscura_group	1	1	0	yes	no
FBgn0015286	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00017	1	DMEL_CRE_00017	0		0		1	DMEL_CRE_00017	0		1	DMEL_CRE_00017	0		1	teissieri_group	1	1	0	yes	no
FBgn0035719	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00306	1	DMEL_CRE_00306	0		0		1	DMEL_CRE_00306	0		1	DMEL_CRE_00306	0		1	repleta_group	1	1	0	yes	no
FBgn0262483	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00154	1	DMEL_CRE_00154	0		0		1	DMEL_CRE_00154	0		1	DMEL_CRE_00154	0		1	rufa_group	1	1	0	yes	no
FBgn0283471	4	medium	focal_single	primary_candidate	1	DMEL_CRE_00122	1	DMEL_CRE_00122	0		0		1	DMEL_CRE_00122	0		1	DMEL_CRE_00122	0		1	obscura_group	1	1	0	yes	no
FBgn0030377	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00077	0		1	DMEL_CRE_00077	0		1	DMEL_CRE_00077	0		1	DMEL_CRE_00077	0		1	immigrans_group	1	1	0	no	yes
FBgn0038331	3	medium	focal_single	secondary_candidate	1	DMEL_CRE_00154	0		1	DMEL_CRE_00154	0		1	DMEL_CRE_00154	0		1	DMEL_CRE_00154	0		1	rufa_group	1	1	0	no	yes
