group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	d_repleta	d_buzzatii	d_mojavensis	d_arizonae
repleta_group	DMEL_CRE_00213	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	uncertain	uncertain
repleta_group	DMEL_CRE_00217	comparison_mixed	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	uncertain	uncertain	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00220	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00223	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00225	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	uncertain
repleta_group	DMEL_CRE_00227	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00228	comparison_mixed	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00230	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	no_detected_CRE	turnover_candidate	no_detected_CRE
repleta_group	DMEL_CRE_00233	comparison_mixed	d_repleta	TEMP	present	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	present	uncertain	present	uncertain
repleta_group	DMEL_CRE_00240	comparison_mixed	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	mixed	no_detected_CRE	no_detected_CRE	uncertain	no_detected_CRE
