group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dtei	d_simulans	d_lutescens	dsuz
teissieri_group	DMEL_CRE_00149	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00155	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00159	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00160	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00162	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00167	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00170	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00172	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00177	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00178	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00179	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00180	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00185	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00189	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00191	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00192	all_same	dtei	TROP	uncertain	d_simulans|d_lutescens|dsuz	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
teissieri_group	DMEL_CRE_00195	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00202	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00204	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00205	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00206	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00207	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00208	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00210	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00214	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00215	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00219	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00224	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00231	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00232	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00244	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00245	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00249	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00251	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00253	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00254	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00258	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00259	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00261	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00268	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00269	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00270	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00272	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00273	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00274	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00276	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00277	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00278	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00280	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00281	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00282	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00283	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00284	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00285	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00286	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00287	all_same	dtei	TROP	uncertain	d_simulans|d_lutescens|dsuz	TEMP	uncertain	uncertain	uncertain	uncertain	uncertain
teissieri_group	DMEL_CRE_00290	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00291	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00292	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00294	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00295	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00300	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00302	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00305	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00307	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
