group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dazt	d_affinis	dmir	dper
azteca_affinis_miranda_group	DMEL_CRE_00220	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00222	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00223	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00226	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00227	comparison_mixed	dazt	ARID	turnover_candidate	d_affinis|dmir|dper	TEMP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00228	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
azteca_affinis_miranda_group	DMEL_CRE_00230	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	present
azteca_affinis_miranda_group	DMEL_CRE_00231	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	present	turnover_candidate	present
azteca_affinis_miranda_group	DMEL_CRE_00232	comparison_mixed	dazt	ARID	no_detected_CRE	d_affinis|dmir|dper	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
azteca_affinis_miranda_group	DMEL_CRE_00233	comparison_mixed	dazt	ARID	present	d_affinis|dmir|dper	TEMP	mixed	present	no_detected_CRE	present	present
