group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	d_repleta	d_buzzatii	d_mojavensis	d_arizonae
repleta_group	DMEL_CRE_00001	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00002	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00003	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00004	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00008	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00010	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00012	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00013	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00014	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00016	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00017	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00018	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00019	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00020	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00021	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00023	all_same	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00025	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00028	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00029	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00032	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00034	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00035	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00036	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00037	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00038	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00039	all_same	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00041	all_same	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00045	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00046	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00047	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00048	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00049	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00051	all_same	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00052	all_same	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00054	all_same	d_repleta	TEMP	turnover_candidate	d_buzzatii|d_mojavensis|d_arizonae	ARID	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
repleta_group	DMEL_CRE_00056	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00058	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00059	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00060	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00061	all_same	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00062	all_same	d_repleta	TEMP	no_detected_CRE	d_buzzatii|d_mojavensis|d_arizonae	ARID	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
repleta_group	DMEL_CRE_00064	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
repleta_group	DMEL_CRE_00065	all_same	d_repleta	TEMP	uncertain	d_buzzatii|d_mojavensis|d_arizonae	ARID	uncertain	uncertain	uncertain	uncertain	uncertain
