group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dimm	dfor	dsul	dnas
immigrans_group	DMEL_CRE_00149	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00150	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00153	all_same	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00155	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00156	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00159	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00160	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00161	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00163	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00166	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00168	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00170	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00171	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00173	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00174	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00176	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00177	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00179	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00181	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00182	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00184	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00187	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00188	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00189	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00190	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00191	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00192	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00193	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00194	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00195	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00196	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00198	all_same	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00199	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00200	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00201	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00202	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00204	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00205	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00207	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00209	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00210	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00211	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00212	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00213	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00214	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00217	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00218	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00219	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00221	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00222	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00223	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00224	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00225	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
immigrans_group	DMEL_CRE_00229	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00231	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00234	all_same	dimm	TEMP	turnover_candidate	dfor|dsul|dnas	TROP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
immigrans_group	DMEL_CRE_00235	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00236	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00237	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00238	all_same	dimm	TEMP	uncertain	dfor|dsul|dnas	TROP	uncertain	uncertain	uncertain	uncertain	uncertain
immigrans_group	DMEL_CRE_00239	all_same	dimm	TEMP	no_detected_CRE	dfor|dsul|dnas	TROP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
