dmel_cre_id	druf	dkik	dbun	dbir	d_serrata	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00003	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dbir	turnover_candidate	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00005	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dbir	turnover_candidate	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00008	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dkik	present	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00014	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	d_serrata	turnover_candidate	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00015	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	d_serrata	turnover_candidate	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00022	present	no_detected_CRE	present	present	present	detection_contrast	tier2	dkik	no_detected_CRE	present	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00026	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	detection_contrast	tier2	d_serrata	present	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00027	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dkik	no_detected_CRE	turnover_candidate	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00036	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	d_serrata	turnover_candidate	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00043	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dkik	no_detected_CRE	turnover_candidate	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00048	no_detected_CRE	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	detection_contrast	tier2	dbir	present	no_detected_CRE	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
DMEL_CRE_00055	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	druf	no_detected_CRE	turnover_candidate	4	rufa_group	druf|dkik|dbun|dbir|d_serrata	5
