dmel_cre_id	dimm	dfor	dsul	dnas	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00007	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dnas	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00023	no_detected_CRE	no_detected_CRE	present	no_detected_CRE	detection_contrast	tier2	dsul	present	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00029	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00030	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00057	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00069	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dnas	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00138	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dfor	present	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00147	no_detected_CRE	present	present	present	detection_contrast	tier2	dimm	no_detected_CRE	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00157	present	present	present	no_detected_CRE	detection_contrast	tier2	dnas	no_detected_CRE	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00167	turnover_candidate	turnover_candidate	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dsul	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00197	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	detection_contrast	tier2	dfor	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00203	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00206	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dnas	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00227	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dsul	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00228	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dsul	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00245	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dimm	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00255	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	detection_contrast	tier2	dfor	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00265	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00266	no_detected_CRE	present	present	present	detection_contrast	tier2	dimm	no_detected_CRE	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00295	present	present	present	no_detected_CRE	detection_contrast	tier2	dnas	no_detected_CRE	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00300	no_detected_CRE	no_detected_CRE	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dsul	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00304	turnover_candidate	turnover_candidate	turnover_candidate	no_detected_CRE	detection_contrast	tier2	dnas	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00313	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dnas	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00318	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate	detection_contrast	tier2	dimm	no_detected_CRE	turnover_candidate	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00319	present	present	present	no_detected_CRE	detection_contrast	tier2	dnas	no_detected_CRE	present	3	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00337	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate	detection_contrast	tier2	dnas	turnover_candidate	no_detected_CRE	3	immigrans_group	dimm|dfor|dsul|dnas	4
