dmel_cre_id	dimm	dfor	dsul	dnas	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00101	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00102	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00103	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00104	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00105	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00106	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00107	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00108	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00109	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00110	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00111	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00112	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00113	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00115	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00116	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00117	no_detected_CRE	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00118	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00119	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00120	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00122	present	no_detected_CRE	turnover_candidate	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00123	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00124	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00125	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00126	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00127	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00128	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00129	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00131	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00132	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00133	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00134	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00135	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00136	uncertain	no_detected_CRE	no_detected_CRE	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00137	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00139	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00141	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00142	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
DMEL_CRE_00143	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	immigrans_group	dimm|dfor|dsul|dnas	4
