dmel_cre_id	dsub	dbif	dobs	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00245	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00247	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00249	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00251	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00253	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00255	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00256	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00257	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00258	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00259	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00260	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00261	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00263	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00264	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00265	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00267	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00268	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00269	turnover_candidate	present	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00270	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00272	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00275	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00278	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00279	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00280	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00281	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00287	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00288	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00290	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00291	no_detected_CRE	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00292	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00293	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00294	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00295	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00300	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00301	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00302	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00303	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00304	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00305	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00306	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00310	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00311	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00312	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00313	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00316	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00319	present	present	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00320	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00322	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00323	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00325	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00326	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00327	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00330	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00331	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00332	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00335	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
DMEL_CRE_00336	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	obscura_group	dsub|dbif|dobs	3
