dmel_cre_id	group_name	discordant_species	discordant_state	consensus_state	n_group_species	n_consensus_species	group_species	pattern_class
DMEL_CRE_00309	obscura_group	dsub	present	turnover_candidate	3	2	dsub|dbif|dobs	present_vs_turnover
DMEL_CRE_00310	azteca_affinis_miranda_group	dazt	turnover_candidate	present	4	3	dazt|d_affinis|dmir|dper	present_vs_turnover
DMEL_CRE_00310	repleta_group	d_arizonae	present	turnover_candidate	4	3	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	present_vs_turnover
DMEL_CRE_00321	rufa_group	dbir	present	turnover_candidate	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00330	azteca_affinis_miranda_group	dazt	turnover_candidate	present	4	3	dazt|d_affinis|dmir|dper	present_vs_turnover
DMEL_CRE_00330	rufa_group	d_serrata	turnover_candidate	present	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00330	teissieri_group	d_lutescens	turnover_candidate	present	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
DMEL_CRE_00331	azteca_affinis_miranda_group	dazt	turnover_candidate	present	4	3	dazt|d_affinis|dmir|dper	present_vs_turnover
DMEL_CRE_00331	repleta_group	d_buzzatii	present	turnover_candidate	4	3	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	present_vs_turnover
DMEL_CRE_00331	rufa_group	d_serrata	present	turnover_candidate	5	4	druf|dkik|dbun|dbir|d_serrata	present_vs_turnover
DMEL_CRE_00331	teissieri_group	d_lutescens	turnover_candidate	present	4	3	dtei|d_simulans|d_lutescens|dsuz	present_vs_turnover
