species	species_name	n_reference_cres	mapped	unmapped	mapping_rate	present	turnover_candidate	no_detected_CRE	uncertain	present_rate_all	present_rate_evaluable	turnover_rate_all	turnover_rate_evaluable	no_detected_rate_all	no_detected_rate_evaluable	present_shared_fbgn	present_discordant_fbgn	present_other_gene_support	n_scrmshaw_peaks	n_prediction_seqids	n_lifted_seqids	n_common_seqids	any_positional_overlap	reciprocal_overlap_ge_50pct	unique_turnover_target_peaks	qc_flags	phylogenetic_target_order
dtro	Drosophila tropicalis	337	160	177	0.474777	11	42	107	177	0.032641	0.06875	0.124629	0.2625	0.317507	0.66875	10	1	0	653	44	23	22	17	11	38	LOW_MAPPING	1
dequ	Drosophila equinoxialis	337	161	176	0.477745	15	37	109	176	0.04451	0.093168	0.109792	0.229814	0.323442	0.677019	13	2	0	573	43	18	18	19	15	35	LOW_MAPPING	2
dsub	Drosophila subobscura	337	256	81	0.759644	34	74	148	81	0.10089	0.132812	0.219585	0.289062	0.439169	0.578125	24	10	0	533	6	6	6	41	34	59	OK	3
dbif	Drosophila bifasciata	337	252	85	0.747774	37	50	165	85	0.109792	0.146825	0.148368	0.198413	0.489614	0.654762	27	10	0	521	5	4	4	43	37	46	OK	4
dobs	Drosophila obscura	337	268	69	0.795252	35	71	162	69	0.103858	0.130597	0.210682	0.264925	0.480712	0.604478	27	8	0	612	40	33	33	42	35	56	OK	5
dazt	Drosophila azteca	337	262	75	0.777448	46	68	148	75	0.136499	0.175573	0.20178	0.259542	0.439169	0.564885	35	11	0	734	17	16	15	52	46	61	OK	6
d_affinis	Drosophila affinis	337	265	72	0.78635	40	60	165	72	0.118694	0.150943	0.178042	0.226415	0.489614	0.622642	30	10	0	561	30	21	21	49	40	51	OK	7
dmir	Drosophila miranda	337	261	76	0.774481	39	59	163	76	0.115727	0.149425	0.175074	0.226054	0.48368	0.624521	29	9	1	519	10	7	7	44	39	51	OK	8
dper	Drosophila persimilis	337	254	83	0.753709	37	64	153	83	0.109792	0.145669	0.189911	0.251969	0.454006	0.602362	25	12	0	519	45	37	36	42	37	56	OK	9
dpse	Drosophila pseudoananassae	337	283	54	0.839763	42	62	179	54	0.124629	0.14841	0.183976	0.219081	0.531157	0.632509	34	8	0	403	127	96	82	48	42	50	OK	10
d_bipectinata	Drosophila bipectinata	337	292	45	0.866469	44	52	196	45	0.130564	0.150685	0.154303	0.178082	0.581602	0.671233	37	7	0	390	15	15	11	51	44	43	OK	11
druf	Drosophila rufa	337	310	27	0.919881	45	68	197	27	0.133531	0.145161	0.20178	0.219355	0.58457	0.635484	37	8	0	439	13	8	8	53	45	54	OK	12
dkik	Drosophila kikkawai	337	311	26	0.922849	41	65	205	26	0.121662	0.131833	0.192878	0.209003	0.608309	0.659164	30	11	0	376	12	7	6	45	41	49	OK	13
dbun	Drosophila bunnanda	337	314	23	0.931751	47	73	194	23	0.139466	0.149682	0.216617	0.232484	0.575668	0.617834	38	9	0	468	26	25	21	56	47	60	OK	14
d_serrata	Drosophila serrata	337	308	29	0.913947	50	68	190	29	0.148368	0.162338	0.20178	0.220779	0.563798	0.616883	37	13	0	420	67	53	47	56	50	58	OK	15
dbir	Drosophila birchii	337	310	27	0.919881	53	63	194	27	0.15727	0.170968	0.186944	0.203226	0.575668	0.625806	44	9	0	437	17	13	8	55	53	54	OK	16
dsuz	Drosophila suzukii	337	331	6	0.982196	75	62	194	6	0.222552	0.226586	0.183976	0.187311	0.575668	0.586103	59	16	0	446	42	24	23	81	75	53	OK	17
d_lutescens	Drosophila lutescens	337	329	8	0.976261	80	57	192	8	0.237389	0.243161	0.169139	0.173252	0.569733	0.583587	57	23	0	457	126	91	75	87	80	46	OK	18
d_simulans	Drosophila simulans	337	334	3	0.991098	142	44	148	3	0.421365	0.42515	0.130564	0.131737	0.439169	0.443114	113	29	0	337	6	6	5	146	142	33	OK	19
dtei	Drosophila teissieri	337	333	4	0.988131	97	52	184	4	0.287834	0.291291	0.154303	0.156156	0.545994	0.552553	77	20	0	362	9	6	5	100	97	39	OK	20
ztub	Zaprionus tuberculatus	337	150	187	0.445104	9	37	104	187	0.026706	0.06	0.109792	0.246667	0.308605	0.693333	5	4	0	476	21	13	10	14	9	32	LOW_MAPPING	21
zind	Zaprionus indianus	337	160	177	0.474777	18	42	100	177	0.053412	0.1125	0.124629	0.2625	0.296736	0.625	12	6	0	645	23	23	20	24	18	37	LOW_MAPPING	22
zdav	Zaprionus davidi	337	159	178	0.47181	18	32	109	178	0.053412	0.113208	0.094955	0.201258	0.323442	0.685535	14	4	0	480	15	13	12	25	18	31	LOW_MAPPING	23
dimm	Drosophila immigrans	337	165	172	0.489614	17	33	115	172	0.050445	0.10303	0.097923	0.2	0.341246	0.69697	11	6	0	517	23	20	15	20	17	26	LOW_MAPPING	24
dfor	Drosophila formosana	337	168	169	0.498516	21	41	106	169	0.062315	0.125	0.121662	0.244048	0.31454	0.630952	14	7	0	572	41	26	26	26	21	34	LOW_MAPPING	25
dsul	Drosophila sulfurigaster	337	171	166	0.507418	18	44	109	166	0.053412	0.105263	0.130564	0.25731	0.323442	0.637427	11	7	0	506	53	45	41	23	18	37	OK	26
dnas	Drosophila nasuta	337	172	165	0.510386	20	37	115	165	0.059347	0.116279	0.109792	0.215116	0.341246	0.668605	16	4	0	527	6	4	4	22	20	30	OK	27
dfun	Drosophila funebris	337	174	163	0.51632	17	42	115	163	0.050445	0.097701	0.124629	0.241379	0.341246	0.66092	11	6	0	558	9	6	5	20	17	33	OK	28
dpha	Drosophila phalerata	337	166	171	0.492582	16	46	104	171	0.047478	0.096386	0.136499	0.277108	0.308605	0.626506	11	5	0	538	12	5	5	18	16	38	LOW_MAPPING	29
d_littoralis	Drosophila littoralis	337	170	167	0.504451	19	29	122	167	0.05638	0.111765	0.086053	0.170588	0.362018	0.717647	14	5	0	577	22	16	15	21	19	28	OK	30
d_ezoana	Drosophila ezoana	337	174	163	0.51632	23	47	104	163	0.068249	0.132184	0.139466	0.270115	0.308605	0.597701	17	6	0	581	27	21	20	27	23	40	OK	31
dvir	Drosophila virilis	337	166	171	0.492582	18	28	120	171	0.053412	0.108434	0.083086	0.168675	0.356083	0.722892	12	6	0	465	31	22	21	22	18	24	LOW_MAPPING	32
d_novamexicana	Drosophila novamexicana	337	166	171	0.492582	18	42	106	171	0.053412	0.108434	0.124629	0.253012	0.31454	0.638554	13	5	0	436	79	55	52	20	18	36	LOW_MAPPING	33
d_hydei	Drosophila hydei	337	165	172	0.489614	6	44	115	172	0.017804	0.036364	0.130564	0.266667	0.341246	0.69697	6	0	0	442	66	44	43	12	6	38	LOW_MAPPING	34
d_mercatorum	Drosophila mercatorum	337	163	174	0.48368	9	46	108	174	0.026706	0.055215	0.136499	0.282209	0.320475	0.662577	7	2	0	521	27	19	19	13	9	41	LOW_MAPPING	35
d_repleta	Drosophila repleta	337	166	171	0.492582	13	41	112	171	0.038576	0.078313	0.121662	0.246988	0.332344	0.674699	10	3	0	559	31	23	19	19	13	33	LOW_MAPPING	36
d_buzzatii	Drosophila buzzatii	337	163	174	0.48368	13	34	116	174	0.038576	0.079755	0.10089	0.208589	0.344214	0.711656	8	5	0	395	68	39	33	15	13	31	LOW_MAPPING	37
d_mojavensis	Drosophila mojavensis	337	165	172	0.489614	15	44	106	172	0.04451	0.090909	0.130564	0.266667	0.31454	0.642424	12	3	0	557	14	10	10	18	15	35	LOW_MAPPING	38
d_arizonae	Drosophila arizonae	337	147	190	0.436202	16	39	92	190	0.047478	0.108844	0.115727	0.265306	0.272997	0.62585	10	6	0	622	15	12	6	19	16	33	LOW_MAPPING	39
