clade	clade_title	plot_order	cre_id	category	focal_species	discordant_species	discordant_state	consensus_state	contrast_direction	n_turnover_states	n_present_states
teissieri_group	Teissieri group	13	DMEL_CRE_00078	secondary_tier1	dtei	dsuz	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	14	DMEL_CRE_00021	secondary_tier1	dtei	d_lutescens	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	15	DMEL_CRE_00164	secondary_tier1	dtei	d_lutescens	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	16	DMEL_CRE_00064	secondary_tier1	dtei	d_simulans	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	17	DMEL_CRE_00083	secondary_tier1	dtei	d_simulans	present	turnover_candidate	discordant_present	3	1
teissieri_group	Teissieri group	18	DMEL_CRE_00152	secondary_tier1	dtei	d_simulans	present	turnover_candidate	discordant_present	3	1
repleta_group	Repleta group	1	DMEL_CRE_00306	focal_tier1	d_repleta	d_repleta	turnover_candidate	present	discordant_turnover	1	3
repleta_group	Repleta group	2	DMEL_CRE_00275	secondary_tier1	d_repleta	d_buzzatii	turnover_candidate	present	discordant_turnover	1	3
repleta_group	Repleta group	3	DMEL_CRE_00331	secondary_tier1	d_repleta	d_buzzatii	present	turnover_candidate	discordant_present	3	1
repleta_group	Repleta group	4	DMEL_CRE_00255	secondary_tier1	d_repleta	d_arizonae	present	turnover_candidate	discordant_present	3	1
repleta_group	Repleta group	5	DMEL_CRE_00310	secondary_tier1	d_repleta	d_arizonae	present	turnover_candidate	discordant_present	3	1
