dmel_cre_id	primary_candidate_priority	n_scenarios	n_candidate_retained	percent_candidate_retained	robust_candidate_all_9	n_same_priority_as_primary	percent_same_priority_as_primary	robust_priority_all_9	lost_in_scenarios	changed_priority_in_scenarios
DMEL_CRE_00203	secondary_single	9	6	66.66666666666666	no	6	66.66666666666666	no	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00306	focal_single	9	6	66.66666666666666	no	6	66.66666666666666	no	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00082	secondary_single	9	6	66.66666666666666	no	3	33.33333333333333	no	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:secondary_recurrent|ov025_dist24000:secondary_recurrent|ov025_dist48000:secondary_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00122	focal_single	9	6	66.66666666666666	no	3	33.33333333333333	no	ov025_dist12000|ov025_dist24000|ov025_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:secondary_recurrent|ov075_dist24000:secondary_recurrent|ov075_dist48000:secondary_recurrent
DMEL_CRE_00151	focal_plus_secondary_recurrent	9	6	66.66666666666666	no	3	33.33333333333333	no	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:focal_recurrent|ov025_dist24000:focal_recurrent|ov025_dist48000:focal_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00309	focal_recurrent	9	6	66.66666666666666	no	3	33.33333333333333	no	ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:focal_plus_secondary_recurrent|ov025_dist24000:focal_plus_secondary_recurrent|ov025_dist48000:focal_plus_secondary_recurrent|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00175	secondary_single	9	4	44.44444444444444	no	4	44.44444444444444	no	ov025_dist12000|ov050_dist12000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov050_dist12000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00154	focal_single	9	3	33.33333333333333	no	3	33.33333333333333	no	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00186	secondary_single	9	3	33.33333333333333	no	3	33.33333333333333	no	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
DMEL_CRE_00277	secondary_single	9	3	33.33333333333333	no	3	33.33333333333333	no	ov025_dist12000|ov025_dist24000|ov025_dist48000|ov075_dist12000|ov075_dist24000|ov075_dist48000	ov025_dist12000:not_tier1_candidate|ov025_dist24000:not_tier1_candidate|ov025_dist48000:not_tier1_candidate|ov075_dist12000:not_tier1_candidate|ov075_dist24000:not_tier1_candidate|ov075_dist48000:not_tier1_candidate
