parameter_dimension	fixed_parameter	scenarios	n_candidates	n_retained_3_of_3	pct_retained_3_of_3	n_retained_2_of_3	pct_retained_2_of_3	n_retained_1_of_3	pct_retained_1_of_3	median_retention_pct	mean_retention_pct	n_sensitive_to_parameter	pct_sensitive_to_parameter	candidate_losses_lower_setting	candidate_losses_upper_setting	mean_candidate_losses_nonprimary	median_candidate_losses_nonprimary	global_state_changes_lower_setting	global_state_changes_upper_setting	mean_global_state_changes_nonprimary	median_global_state_changes_nonprimary
reciprocal_overlap	local_distance=24000	ov025_dist24000|ov050_dist24000|ov075_dist24000	43	26	60.5	14	32.6	3	7.0	100.0	84.5	17	39.5	4	16	10.0	10.0	137	553	345.0	345.0
local_distance	reciprocal_overlap=0.50	ov050_dist12000|ov050_dist24000|ov050_dist48000	43	40	93.0	3	7.0	0	0.0	100.0	97.7	3	7.0	3	0	1.5	1.5	82	85	83.5	83.5
