scenario	species	n_cells	n_changed	percent_stable
ov025_dist48000	dpse	337	5	98.51632047477746
ov025_dist48000	druf	337	10	97.03264094955489
ov025_dist48000	dsub	337	6	98.21958456973294
ov025_dist48000	dsul	337	5	98.51632047477746
ov025_dist48000	dsuz	337	8	97.62611275964392
ov025_dist48000	dtei	337	6	98.21958456973294
ov025_dist48000	dtro	337	7	97.92284866468842
ov025_dist48000	dvir	337	3	99.10979228486647
ov025_dist48000	zdav	337	8	97.62611275964392
ov025_dist48000	zind	337	7	97.92284866468842
ov025_dist48000	ztub	337	6	98.21958456973294
ov050_dist12000	d_affinis	337	1	99.70326409495549
ov050_dist12000	d_arizonae	337	2	99.40652818991099
ov050_dist12000	d_bipectinata	337	2	99.40652818991099
ov050_dist12000	d_buzzatii	337	0	100.0
ov050_dist12000	d_ezoana	337	2	99.40652818991099
ov050_dist12000	d_hydei	337	1	99.70326409495549
ov050_dist12000	d_littoralis	337	3	99.10979228486647
ov050_dist12000	d_lutescens	337	2	99.40652818991099
ov050_dist12000	d_mercatorum	337	2	99.40652818991099
ov050_dist12000	d_mojavensis	337	3	99.10979228486647
ov050_dist12000	d_novamexicana	337	4	98.81305637982196
ov050_dist12000	d_repleta	337	2	99.40652818991099
ov050_dist12000	d_serrata	337	3	99.10979228486647
ov050_dist12000	d_simulans	337	0	100.0
ov050_dist12000	dazt	337	1	99.70326409495549
ov050_dist12000	dbif	337	2	99.40652818991099
ov050_dist12000	dbir	337	2	99.40652818991099
ov050_dist12000	dbun	337	3	99.10979228486647
ov050_dist12000	dequ	337	0	100.0
ov050_dist12000	dfor	337	3	99.10979228486647
ov050_dist12000	dfun	337	3	99.10979228486647
ov050_dist12000	dimm	337	0	100.0
ov050_dist12000	dkik	337	2	99.40652818991099
ov050_dist12000	dmir	337	1	99.70326409495549
ov050_dist12000	dnas	337	1	99.70326409495549
ov050_dist12000	dobs	337	4	98.81305637982196
ov050_dist12000	dper	337	4	98.81305637982196
ov050_dist12000	dpha	337	1	99.70326409495549
ov050_dist12000	dpse	337	3	99.10979228486647
ov050_dist12000	druf	337	4	98.81305637982196
ov050_dist12000	dsub	337	7	97.92284866468842
ov050_dist12000	dsul	337	0	100.0
ov050_dist12000	dsuz	337	2	99.40652818991099
ov050_dist12000	dtei	337	3	99.10979228486647
ov050_dist12000	dtro	337	1	99.70326409495549
ov050_dist12000	dvir	337	1	99.70326409495549
ov050_dist12000	zdav	337	3	99.10979228486647
ov050_dist12000	zind	337	2	99.40652818991099
ov050_dist12000	ztub	337	2	99.40652818991099
ov050_dist24000	d_affinis	337	0	100.0
ov050_dist24000	d_arizonae	337	0	100.0
ov050_dist24000	d_bipectinata	337	0	100.0
ov050_dist24000	d_buzzatii	337	0	100.0
ov050_dist24000	d_ezoana	337	0	100.0
ov050_dist24000	d_hydei	337	0	100.0
ov050_dist24000	d_littoralis	337	0	100.0
ov050_dist24000	d_lutescens	337	0	100.0
ov050_dist24000	d_mercatorum	337	0	100.0
ov050_dist24000	d_mojavensis	337	0	100.0
ov050_dist24000	d_novamexicana	337	0	100.0
ov050_dist24000	d_repleta	337	0	100.0
ov050_dist24000	d_serrata	337	0	100.0
ov050_dist24000	d_simulans	337	0	100.0
ov050_dist24000	dazt	337	0	100.0
ov050_dist24000	dbif	337	0	100.0
ov050_dist24000	dbir	337	0	100.0
ov050_dist24000	dbun	337	0	100.0
ov050_dist24000	dequ	337	0	100.0
ov050_dist24000	dfor	337	0	100.0
ov050_dist24000	dfun	337	0	100.0
ov050_dist24000	dimm	337	0	100.0
ov050_dist24000	dkik	337	0	100.0
ov050_dist24000	dmir	337	0	100.0
ov050_dist24000	dnas	337	0	100.0
ov050_dist24000	dobs	337	0	100.0
ov050_dist24000	dper	337	0	100.0
ov050_dist24000	dpha	337	0	100.0
ov050_dist24000	dpse	337	0	100.0
ov050_dist24000	druf	337	0	100.0
ov050_dist24000	dsub	337	0	100.0
ov050_dist24000	dsul	337	0	100.0
ov050_dist24000	dsuz	337	0	100.0
ov050_dist24000	dtei	337	0	100.0
ov050_dist24000	dtro	337	0	100.0
ov050_dist24000	dvir	337	0	100.0
ov050_dist24000	zdav	337	0	100.0
ov050_dist24000	zind	337	0	100.0
ov050_dist24000	ztub	337	0	100.0
ov050_dist48000	d_affinis	337	4	98.81305637982196
ov050_dist48000	d_arizonae	337	1	99.70326409495549
ov050_dist48000	d_bipectinata	337	4	98.81305637982196
ov050_dist48000	d_buzzatii	337	5	98.51632047477746
ov050_dist48000	d_ezoana	337	2	99.40652818991099
ov050_dist48000	d_hydei	337	3	99.10979228486647
ov050_dist48000	d_littoralis	337	0	100.0
ov050_dist48000	d_lutescens	337	2	99.40652818991099
ov050_dist48000	d_mercatorum	337	0	100.0
ov050_dist48000	d_mojavensis	337	2	99.40652818991099
ov050_dist48000	d_novamexicana	337	2	99.40652818991099
ov050_dist48000	d_repleta	337	1	99.70326409495549
ov050_dist48000	d_serrata	337	0	100.0
ov050_dist48000	d_simulans	337	1	99.70326409495549
ov050_dist48000	dazt	337	6	98.21958456973294
ov050_dist48000	dbif	337	1	99.70326409495549
ov050_dist48000	dbir	337	3	99.10979228486647
ov050_dist48000	dbun	337	5	98.51632047477746
ov050_dist48000	dequ	337	3	99.10979228486647
ov050_dist48000	dfor	337	3	99.10979228486647
ov050_dist48000	dfun	337	1	99.70326409495549
ov050_dist48000	dimm	337	2	99.40652818991099
ov050_dist48000	dkik	337	4	98.81305637982196
ov050_dist48000	dmir	337	1	99.70326409495549
ov050_dist48000	dnas	337	1	99.70326409495549
ov050_dist48000	dobs	337	3	99.10979228486647
ov050_dist48000	dper	337	1	99.70326409495549
ov050_dist48000	dpha	337	0	100.0
ov050_dist48000	dpse	337	1	99.70326409495549
ov050_dist48000	druf	337	3	99.10979228486647
ov050_dist48000	dsub	337	2	99.40652818991099
ov050_dist48000	dsul	337	1	99.70326409495549
ov050_dist48000	dsuz	337	4	98.81305637982196
ov050_dist48000	dtei	337	4	98.81305637982196
ov050_dist48000	dtro	337	2	99.40652818991099
ov050_dist48000	dvir	337	0	100.0
ov050_dist48000	zdav	337	2	99.40652818991099
ov050_dist48000	zind	337	3	99.10979228486647
ov050_dist48000	ztub	337	2	99.40652818991099
ov075_dist12000	d_affinis	337	24	92.87833827893175
ov075_dist12000	d_arizonae	337	10	97.03264094955489
ov075_dist12000	d_bipectinata	337	21	93.76854599406528
ov075_dist12000	d_buzzatii	337	10	97.03264094955489
ov075_dist12000	d_ezoana	337	15	95.54896142433235
ov075_dist12000	d_hydei	337	4	98.81305637982196
ov075_dist12000	d_littoralis	337	15	95.54896142433235
ov075_dist12000	d_lutescens	337	31	90.80118694362018
ov075_dist12000	d_mercatorum	337	7	97.92284866468842
ov075_dist12000	d_mojavensis	337	10	97.03264094955489
ov075_dist12000	d_novamexicana	337	11	96.73590504451039
ov075_dist12000	d_repleta	337	9	97.3293768545994
ov075_dist12000	d_serrata	337	25	92.58160237388724
ov075_dist12000	d_simulans	337	25	92.58160237388724
ov075_dist12000	dazt	337	23	93.17507418397626
ov075_dist12000	dbif	337	17	94.95548961424333
ov075_dist12000	dbir	337	23	93.17507418397626
ov075_dist12000	dbun	337	26	92.28486646884274
ov075_dist12000	dequ	337	10	97.03264094955489
ov075_dist12000	dfor	337	17	94.95548961424333
ov075_dist12000	dfun	337	9	97.3293768545994
ov075_dist12000	dimm	337	10	97.03264094955489
ov075_dist12000	dkik	337	21	93.76854599406528
ov075_dist12000	dmir	337	18	94.65875370919882
ov075_dist12000	dnas	337	12	96.43916913946587
ov075_dist12000	dobs	337	22	93.47181008902076
ov075_dist12000	dper	337	17	94.95548961424333
ov075_dist12000	dpha	337	12	96.43916913946587
ov075_dist12000	dpse	337	23	93.17507418397626
ov075_dist12000	druf	337	23	93.17507418397626
ov075_dist12000	dsub	337	20	94.06528189910979
ov075_dist12000	dsul	337	11	96.73590504451039
ov075_dist12000	dsuz	337	25	92.58160237388724
ov075_dist12000	dtei	337	25	92.58160237388724
ov075_dist12000	dtro	337	8	97.62611275964392
ov075_dist12000	dvir	337	11	96.73590504451039
ov075_dist12000	zdav	337	14	95.84569732937686
ov075_dist12000	zind	337	13	96.14243323442136
ov075_dist12000	ztub	337	8	97.62611275964392
ov075_dist24000	d_affinis	337	23	93.17507418397626
ov075_dist24000	d_arizonae	337	8	97.62611275964392
ov075_dist24000	d_bipectinata	337	19	94.3620178041543
ov075_dist24000	d_buzzatii	337	10	97.03264094955489
ov075_dist24000	d_ezoana	337	13	96.14243323442136
ov075_dist24000	d_hydei	337	3	99.10979228486647
ov075_dist24000	d_littoralis	337	12	96.43916913946587
ov075_dist24000	d_lutescens	337	29	91.3946587537092
ov075_dist24000	d_mercatorum	337	5	98.51632047477746
ov075_dist24000	d_mojavensis	337	7	97.92284866468842
ov075_dist24000	d_novamexicana	337	7	97.92284866468842
ov075_dist24000	d_repleta	337	7	97.92284866468842
ov075_dist24000	d_serrata	337	22	93.47181008902076
ov075_dist24000	d_simulans	337	25	92.58160237388724
ov075_dist24000	dazt	337	22	93.47181008902076
ov075_dist24000	dbif	337	15	95.54896142433235
ov075_dist24000	dbir	337	21	93.76854599406528
ov075_dist24000	dbun	337	23	93.17507418397626
ov075_dist24000	dequ	337	10	97.03264094955489
ov075_dist24000	dfor	337	14	95.84569732937686
ov075_dist24000	dfun	337	6	98.21958456973294
ov075_dist24000	dimm	337	10	97.03264094955489
ov075_dist24000	dkik	337	19	94.3620178041543
ov075_dist24000	dmir	337	17	94.95548961424333
ov075_dist24000	dnas	337	11	96.73590504451039
ov075_dist24000	dobs	337	18	94.65875370919882
ov075_dist24000	dper	337	13	96.14243323442136
ov075_dist24000	dpha	337	11	96.73590504451039
ov075_dist24000	dpse	337	20	94.06528189910979
ov075_dist24000	druf	337	19	94.3620178041543
ov075_dist24000	dsub	337	13	96.14243323442136
ov075_dist24000	dsul	337	11	96.73590504451039
ov075_dist24000	dsuz	337	23	93.17507418397626
ov075_dist24000	dtei	337	22	93.47181008902076
ov075_dist24000	dtro	337	7	97.92284866468842
ov075_dist24000	dvir	337	10	97.03264094955489
ov075_dist24000	zdav	337	11	96.73590504451039
ov075_dist24000	zind	337	11	96.73590504451039
ov075_dist24000	ztub	337	6	98.21958456973294
ov075_dist48000	d_affinis	337	27	91.98813056379822
ov075_dist48000	d_arizonae	337	9	97.3293768545994
ov075_dist48000	d_bipectinata	337	23	93.17507418397626
ov075_dist48000	d_buzzatii	337	15	95.54896142433235
ov075_dist48000	d_ezoana	337	15	95.54896142433235
ov075_dist48000	d_hydei	337	6	98.21958456973294
ov075_dist48000	d_littoralis	337	12	96.43916913946587
ov075_dist48000	d_lutescens	337	31	90.80118694362018
ov075_dist48000	d_mercatorum	337	5	98.51632047477746
ov075_dist48000	d_mojavensis	337	9	97.3293768545994
ov075_dist48000	d_novamexicana	337	9	97.3293768545994
ov075_dist48000	d_repleta	337	8	97.62611275964392
ov075_dist48000	d_serrata	337	22	93.47181008902076
ov075_dist48000	d_simulans	337	26	92.28486646884274
ov075_dist48000	dazt	337	28	91.69139465875371
ov075_dist48000	dbif	337	16	95.25222551928783
ov075_dist48000	dbir	337	24	92.87833827893175
ov075_dist48000	dbun	337	28	91.69139465875371
ov075_dist48000	dequ	337	13	96.14243323442136
ov075_dist48000	dfor	337	17	94.95548961424333
ov075_dist48000	dfun	337	7	97.92284866468842
ov075_dist48000	dimm	337	12	96.43916913946587
ov075_dist48000	dkik	337	23	93.17507418397626
ov075_dist48000	dmir	337	18	94.65875370919882
ov075_dist48000	dnas	337	12	96.43916913946587
ov075_dist48000	dobs	337	21	93.76854599406528
ov075_dist48000	dper	337	14	95.84569732937686
ov075_dist48000	dpha	337	11	96.73590504451039
ov075_dist48000	dpse	337	21	93.76854599406528
ov075_dist48000	druf	337	22	93.47181008902076
ov075_dist48000	dsub	337	15	95.54896142433235
ov075_dist48000	dsul	337	12	96.43916913946587
ov075_dist48000	dsuz	337	27	91.98813056379822
ov075_dist48000	dtei	337	26	92.28486646884274
ov075_dist48000	dtro	337	9	97.3293768545994
ov075_dist48000	dvir	337	10	97.03264094955489
ov075_dist48000	zdav	337	13	96.14243323442136
ov075_dist48000	zind	337	14	95.84569732937686
ov075_dist48000	ztub	337	8	97.62611275964392
